pickup_datetime,dropoff_datetime,passenger_count,trip_distance
2023-01-09 09:50:23,2023-01-01 09:54:53,5,0.95
2023-01-09 09:40:30,2023-01-01 10:01:41,1,4.31
2023-01-09 09:27:56,2023-01-01 09:37:08,1,2.73
2023-01-09 09:44:55,2023-01-01 09:52:13,1,1.56
2023-01-09 09:35:30,2023-01-01 09:46:07,1,5.88
2023-01-09 09:59:31,2023-01-01 10:06:34,1,2.35
2023-01-09 09:32:15,2023-01-01 09:38:45,1,2.07
2023-01-09 09:06:58,2023-01-01 09:16:43,1,4.30
2023-01-09 09:09:14,2023-01-01 09:12:50,1,0.87
2023-01-09 09:46:24,2023-01-01 09:55:51,1,1.65
2023-01-09 09:34:40,2023-01-01 09:49:00,1,2.58
2023-01-09 09:59:24,2023-01-01 10:09:00,1,2.84
2023-01-09 09:25:34,2023-01-01 09:34:12,1,2.04
2023-01-09 09:02:35,2023-01-01 09:46:42,1,9.49
2023-01-09 09:14:47,2023-01-01 09:36:22,1,0.00
2023-01-09 09:01:41,2023-01-01 09:06:34,1,1.50
2023-01-09 09:07:52,2023-01-01 09:15:49,1,2.00
2023-01-09 09:41:28,2023-01-01 09:46:27,1,1.50
2023-01-09 09:22:08,2023-01-01 09:25:22,1,0.57
2023-01-09 09:36:20,2023-01-01 09:50:36,1,2.50
2023-01-09 09:55:26,2023-01-01 10:04:28,1,1.88
2023-01-09 09:07:04,2023-01-01 09:12:41,1,1.16
2023-01-09 09:10:17,2023-01-01 09:24:30,1,3.85
2023-01-09 09:36:59,2023-01-01 09:45:30,1,4.14
2023-01-09 10:09:25,2023-01-01 10:35:59,2,4.10
2023-01-09 10:17:00,2023-01-01 10:21:31,1,0.73
2023-01-09 10:39:35,2023-01-01 10:51:47,1,1.99
2023-01-09 10:54:14,2023-01-01 11:13:52,1,6.67
2023-01-09 10:11:27,2023-01-01 10:20:25,1,2.22
2023-01-09 10:36:22,2023-01-01 10:42:56,1,1.04
2023-01-09 10:55:18,2023-01-01 10:58:40,1,0.58
2023-01-09 10:17:11,2023-01-01 10:29:44,1,2.40
2023-01-09 10:28:24,2023-01-01 10:37:51,1,1.88
2023-01-09 10:48:44,2023-01-01 10:55:22,1,1.71
2023-01-09 10:19:28,2023-01-01 10:25:42,5,1.48
2023-01-09 10:54:54,2023-01-01 11:02:29,5,1.75
2023-01-09 10:39:48,2023-01-01 10:58:24,1,6.49
2023-01-09 10:41:13,2023-01-01 10:59:50,6,10.00
2023-01-09 10:28:22,2023-01-01 10:33:29,1,1.12
2023-01-09 10:07:56,2023-01-01 10:17:37,1,2.41
2023-01-09 10:37:15,2023-01-01 10:42:46,1,1.81
2023-01-09 10:58:28,2023-01-01 11:01:14,1,0.72
2023-01-09 10:15:56,2023-01-01 10:23:04,1,1.48
2023-01-09 10:20:06,2023-01-01 10:33:47,1,2.44
2023-01-09 10:34:12,2023-01-01 10:52:12,1,6.99
2023-01-09 10:10:27,2023-01-01 10:20:49,1,1.68
2023-01-09 10:32:18,2023-01-01 10:36:24,1,1.43
2023-01-09 10:27:00,2023-01-01 10:48:38,1,0.00
2023-01-09 10:53:05,2023-01-01 11:04:51,3,2.66
2023-01-09 10:50:28,2023-01-01 11:13:33,1,9.31
2023-01-09 10:53:41,2023-01-01 10:59:35,1,0.79
2023-01-09 10:36:41,2023-01-01 10:50:04,1,3.10
2023-01-09 10:07:51,2023-01-01 10:26:09,1,11.18
2023-01-10 10:51:55,2023-01-01 11:03:28,1,4.64
2023-01-10 10:26:36,2023-01-01 10:46:05,1,8.76
2023-01-10 10:49:58,2023-01-01 11:07:00,1,4.35
2023-01-10 10:39:54,2023-01-01 10:45:44,6,1.10
2023-01-10 10:59:06,2023-01-01 11:07:52,6,2.64
2023-01-10 10:31:36,2023-01-01 10:39:29,1,1.42
2023-01-10 10:10:35,2023-01-01 10:19:55,1,4.24
2023-01-10 10:51:32,2023-01-01 11:04:07,1,2.66
2023-01-10 11:15:21,2023-01-01 11:24:04,1,2.13
2023-01-10 11:18:13,2023-01-01 11:22:21,1,1.19
2023-01-10 11:48:50,2023-01-01 11:56:34,1,1.69
2023-01-10 11:56:35,2023-01-01 12:00:26,1,0.63
2023-01-10 11:37:30,2023-01-01 12:24:00,3,0.00
2023-01-10 11:07:36,2023-01-01 11:14:46,1,1.36
2023-01-10 11:24:45,2023-01-01 11:27:06,1,0.63
2023-01-10 11:28:29,2023-01-01 11:38:05,1,1.82
2023-01-10 11:40:55,2023-01-01 11:49:26,1,1.49
2023-01-10 10:59:46,2023-01-01 11:10:08,1,3.24
2023-01-10 11:33:27,2023-01-01 11:43:08,1,1.71
